are mixed in row of R_sa,rows of R
624,[912]
625,[193]
626,[845]
627,[30]
628,[848]
629,[312]
630,[554]
631,[193]
632,[14]
633,[748]
634,[258]
635,[630]
636,[888]
637,[432]
638,[582]
639,[523]
640,[503]
641,[397]
642,[230]
643,[799]
644,[377]
645,[747]
646,[379]
647,[57]
648,[891]
649,[561]
650,[374]
651,[233]
652,[847]
653,[50]
654,[120]
655,[658]
656,[829]
657,[429]
658,[189]
659,[23]
660,[435]
661,"[58, 911]"
662,"[259, 751]"
663,"[238, 428]"
664,"[34, 91]"
665,"[639, 433]"
666,"[499, 340]"
667,"[326, 524]"
668,"[835, 757]"
669,"[402, 621]"
670,"[929, 455]"
671,"[892, 317]"
672,"[597, 163]"
673,"[28, 457]"
674,"[857, 4]"
675,"[63, 310]"
676,"[765, 128]"
677,"[646, 535]"
678,"[891, 451]"
679,"[294, 814]"
680,"[455, 844]"
681,"[255, 839]"
682,"[35, 345]"
683,"[100, 275]"
684,"[630, 523]"
685,"[121, 623]"
686,"[34, 701]"
687,"[569, 822]"
688,"[436, 881]"
689,"[199, 884]"
690,"[163, 323]"
691,"[6, 487]"
692,"[663, 437]"
693,"[599, 51]"
694,"[594, 641]"
695,"[111, 729]"
696,"[327, 274]"
697,"[312, 192]"
698,"[928, 452]"
699,"[527, 388]"
700,"[647, 847]"
701,"[899, 663]"
702,"[664, 307]"
703,"[446, 884]"
704,"[173, 915]"
705,"[709, 278]"
706,"[20, 783]"
707,"[926, 493]"
708,"[397, 667]"
709,"[58, 98]"
710,"[816, 520]"
711,"[91, 268]"
712,"[485, 261]"
713,"[847, 12]"
714,"[567, 638]"
715,"[145, 340]"
716,"[58, 341]"
717,"[309, 158]"
718,"[29, 233]"
719,"[441, 179]"
720,"[940, 846]"
721,"[803, 639]"
722,"[274, 311]"
723,"[822, 226]"
724,"[929, 425]"
725,"[4, 747]"
726,"[825, 456]"
727,"[544, 875]"
728,"[463, 388]"
729,"[337, 715]"
730,"[821, 842]"
731,"[691, 496]"
732,"[206, 892]"
733,"[937, 640]"
734,"[245, 914]"
735,"[154, 454]"
736,"[434, 775]"
737,"[405, 208]"
738,"[693, 211]"
739,"[223, 893]"
740,"[919, 232]"
741,"[524, 888]"
742,"[329, 604]"
743,"[362, 592]"
744,"[193, 814]"
745,"[200, 559]"
746,"[888, 187]"
747,"[177, 709]"
748,"[115, 672]"
749,"[458, 84]"
750,"[441, 638]"
751,"[93, 912]"
752,"[15, 237]"
753,"[505, 370]"
754,"[877, 129]"
755,"[5, 613]"
756,"[424, 152]"
757,"[307, 885]"
758,"[118, 806]"
759,"[867, 750]"
760,"[506, 933]"
761,"[911, 297]"
762,"[471, 864]"
763,"[850, 429]"
764,"[243, 133]"
765,"[894, 325]"
766,"[495, 702]"
767,"[737, 877]"
768,"[915, 183]"
769,"[837, 91]"
770,"[738, 549]"
771,"[293, 703]"
772,"[535, 144]"
773,"[655, 647]"
774,"[68, 396]"
775,"[654, 410]"
776,"[669, 528]"
777,"[450, 647]"
778,"[669, 399]"
779,"[208, 681]"
780,"[746, 568]"
781,"[717, 35]"
782,"[419, 872]"
783,"[560, 158]"
784,"[188, 683]"
785,"[79, 290]"
786,"[867, 392]"
787,"[704, 922]"
788,"[517, 865]"
789,"[696, 494]"
790,"[522, 390]"
791,"[556, 413]"
792,"[180, 494]"
793,"[233, 313]"
794,"[879, 762]"
795,"[49, 872]"
796,"[434, 889]"
797,"[130, 685]"
798,"[346, 763]"
799,"[398, 599]"
800,"[639, 681]"
801,"[436, 438]"
802,"[84, 260, 809]"
803,"[599, 27, 931]"
804,"[101, 177, 433]"
805,"[797, 822, 257]"
806,"[138, 888, 890]"
807,"[17, 194, 544]"
808,"[41, 718, 533]"
809,"[915, 548, 81]"
810,"[404, 708, 85]"
811,"[575, 362, 345]"
812,"[177, 313, 225]"
813,"[300, 454, 705]"
814,"[651, 731, 91]"
815,"[747, 40, 880]"
816,"[678, 362, 547]"
817,"[200, 527, 522]"
818,"[317, 638, 333]"
819,"[537, 273, 870]"
820,"[561, 581, 245]"
821,"[150, 574, 255]"
822,"[603, 139, 747]"
823,"[881, 860, 560]"
824,"[814, 17, 517]"
825,"[385, 434, 455]"
826,"[513, 744, 347]"
827,"[476, 338, 588]"
828,"[693, 221, 808]"
829,"[390, 138, 803]"
830,"[928, 662, 755]"
831,"[756, 321, 392]"
832,"[88, 362, 282]"
833,"[249, 259, 550]"
834,"[824, 388, 643]"
835,"[644, 550, 100]"
836,"[624, 879, 371]"
837,"[494, 126, 371]"
838,"[506, 902, 279]"
839,"[148, 541, 308]"
840,"[275, 215, 139]"
841,"[70, 908, 392]"
842,"[557, 519, 326]"
843,"[112, 292, 942]"
844,"[864, 118, 371]"
845,"[462, 876, 58]"
846,"[52, 292, 451]"
847,"[718, 779, 664]"
848,"[433, 550, 427]"
849,"[536, 62, 714]"
850,"[797, 816, 424]"
851,"[216, 21, 144]"
852,"[647, 13, 517]"
853,"[817, 253, 22]"
854,"[632, 187, 937]"
855,"[447, 338, 765]"
856,"[183, 353, 94]"
857,"[545, 938, 378]"
858,"[336, 715, 151]"
859,"[773, 416, 30]"
860,"[799, 341, 150]"
861,"[902, 647, 236]"
862,"[458, 888, 239]"
863,"[126, 69, 890]"
864,"[185, 813, 494, 566]"
865,"[471, 606, 206, 111]"
866,"[215, 282, 386, 707]"
867,"[900, 213, 764, 42]"
868,"[91, 707, 391, 579]"
869,"[783, 237, 84, 662]"
870,"[89, 146, 876, 794]"
871,"[99, 238, 193, 524]"
872,"[215, 764, 403, 91]"
873,"[736, 681, 901, 535]"
874,"[159, 616, 404, 358]"
875,"[434, 455, 184, 820]"
876,"[741, 681, 881, 277]"
877,"[942, 588, 896, 277]"
878,"[795, 38, 31, 620]"
879,"[390, 804, 469, 222]"
880,"[634, 544, 656, 804]"
881,"[647, 860, 44, 544]"
882,"[906, 388, 814, 132]"
883,"[836, 84, 790, 621]"
884,"[734, 20, 647, 691]"
885,"[275, 491, 344, 693]"
886,"[880, 642, 571, 252]"
