are mixed in row of R_sa,rows of R
198,[69]
15,[291]
265,[131]
513,[300]
639,[662]
757,[144]
454,[135]
681,[164]
480,[28]
691,[529]
347,[193]
199,[736]
673,[880]
588,[169]
712,[432]
483,[140]
518,[173]
753,[6]
79,[604]
555,[869]
339,[73]
482,[643]
541,[361]
56,[238]
497,[145]
353,[907]
552,[234]
43,[220]
100,[917]
274,[601]
11,[132]
101,[933]
730,[357]
107,[185]
520,[41]
130,[867]
701,[108]
674,[838]
576,[56]
424,[834]
675,[732]
60,[530]
216,[24]
128,[405]
693,[483]
382,[918]
441,[338]
72,[51]
591,[457]
657,[865]
336,[596]
710,[264]
713,[493]
564,[788]
650,[777]
488,[934]
249,[18]
654,[813]
311,[535]
631,[377]
439,[367]
151,[83]
110,[61]
747,[381]
602,[272]
400,[285]
226,[360]
231,[354]
688,[554]
186,[278]
540,[12]
163,[182]
479,[368]
719,[430]
266,[618]
148,[223]
556,[539]
281,[658]
544,[440]
633,[478]
180,[549]
306,[753]
192,[176]
623,[634]
309,[500]
637,[932]
63,[456]
45,[163]
121,[248]
189,[597]
755,[833]
393,[375]
594,[74]
443,[113]
267,[536]
432,[527]
728,[390]
218,[104]
627,[114]
286,[411]
686,[92]
26,[531]
782,[89]
361,[336]
589,[931]
532,[866]
75,[877]
609,[570]
152,[905]
506,[575]
16,[94]
33,[11]
469,[396]
40,[501]
617,[43]
692,[42]
340,[329]
452,[167]
145,[490]
752,[824]
585,[874]
530,[712]
453,[100]
97,[426]
108,[178]
607,[416]
153,[655]
767,[830]
234,[620]
277,[177]
245,[395]
200,[695]
358,[783]
280,[644]
236,[383]
776,[257]
8,[495]
13,[335]
450,[578]
114,[15]
369,[3]
208,[485]
223,[256]
127,[513]
557,[714]
58,[666]
708,[464]
157,[393]
592,[222]
80,[179]
279,[289]
363,[544]
563,[324]
354,[557]
427,[9]
52,[249]
225,[22]
392,[356]
538,[221]
255,[628]
684,[811]
292,[926]
727,[749]
19,[340]
680,[431]
118,[518]
470,[785]
194,[545]
584,[203]
233,[594]
630,[445]
403,[237]
196,[93]
302,[525]
384,[816]
1,[633]
81,[789]
187,[284]
668,[184]
35,[757]
402,[920]
380,[434]
111,[653]
146,[153]
84,[75]
150,[450]
695,[689]
262,[756]
329,[277]
6,[68]
465,[446]
431,[591]
310,[486]
773,[188]
397,[271]
568,[697]
577,[582]
700,[236]
666,[487]
451,[88]
399,[800]
490,[117]
624,[125]
119,[857]
287,[512]
697,[823]
87,[558]
95,[126]
581,[116]
537,[473]
608,[652]
703,[57]
238,[635]
53,[858]
327,[369]
442,[268]
590,[46]
7,[349]
704,[195]
670,[942]
177,[786]
562,[693]
586,[263]
86,[443]
379,[636]
161,[304]
457,[341]
54,[910]
263,[149]
221,[124]
113,[741]
746,[50]
501,[353]
760,[872]
174,[142]
596,[470]
17,[399]
18,[589]
423,[320]
143,[19]
285,[762]
476,[745]
428,[761]
304,[407]
705,[537]
31,[584]
716,[38]
756,[175]
214,[245]
620,[781]
326,[629]
359,[710]
570,[808]
475,[154]
341,[287]
147,[567]
360,[17]
83,[127]
48,[322]
468,[255]
155,[750]
62,[908]
284,[190]
176,[115]
160,[580]
500,[180]
179,[301]
24,[715]
599,[717]
669,[682]
528,[752]
346,[651]
417,[517]
474,[927]
618,[45]
385,[855]
768,[157]
536,[936]
243,[171]
682,[16]
116,[511]
312,[48]
435,[914]
201,[792]
711,[515]
308,[886]
430,[480]
370,[283]
566,[616]
743,[225]
181,[26]
660,[737]
625,[437]
404,[895]
406,[364]
296,[229]
734,[37]
461,[909]
28,[374]
50,[469]
377,[911]
603,[801]
105,[684]
126,[194]
132,[804]
638,[814]
355,[503]
459,[913]
619,[898]
209,[579]
676,[912]
140,[162]
217,[922]
395,[152]
362,[841]
301,[670]
345,[711]
683,[111]
133,[226]
658,[820]
741,[103]
10,[421]
68,[419]
282,"[706, 586]"
291,"[735, 119]"
626,"[53, 151]"
718,"[403, 889]"
655,"[207, 795]"
129,"[718, 8]"
323,"[760, 36]"
46,"[452, 253]"
642,"[303, 854]"
732,"[571, 623]"
659,"[668, 678]"
665,"[262, 610]"
215,"[297, 414]"
227,"[150, 743]"
158,"[640, 836]"
750,"[550, 746]"
634,"[488, 147]"
516,"[146, 679]"
521,"[894, 696]"
597,"[659, 348]"
195,"[463, 325]"
253,"[186, 123]"
781,"[803, 608]"
410,"[143, 902]"
96,"[197, 609]"
761,"[279, 293]"
721,"[400, 122]"
156,"[183, 202]"
419,"[438, 246]"
230,"[415, 721]"
477,"[839, 835]"
288,"[129, 637]"
622,"[402, 739]"
14,"[843, 859]"
499,"[219, 641]"
447,"[861, 708]"
553,"[759, 864]"
178,"[624, 790]"
390,"[716, 386]"
578,"[915, 509]"
766,"[267, 809]"
197,"[441, 496]"
38,"[112, 691]"
103,"[232, 819]"
687,"[607, 671]"
502,"[373, 924]"
748,"[794, 233]"
144,"[740, 676]"
664,"[317, 648]"
142,"[410, 845]"
574,"[709, 358]"
22,"[258, 627]"
421,"[632, 282]"
636,"[376, 384]"
525,"[224, 897]"
615,"[767, 472]"
294,"[347, 505]"
707,"[639, 930]"
401,"[873, 851]"
88,"[619, 916]"
41,"[645, 797]"
600,"[556, 901]"
131,"[577, 85]"
762,"[242, 698]"
751,"[159, 524]"
77,"[35, 540]"
378,"[170, 654]"
4,"[837, 807]"
164,"[798, 888]"
290,"[733, 95]"
269,"[563, 240]"
775,"[742, 574]"
348,"[690, 460]"
571,"[553, 826]"
740,"[206, 392]"
295,"[397, 766]"
512,"[799, 217]"
546,"[4, 768]"
587,"[642, 844]"
780,"[612, 738]"
458,"[546, 725]"
375,"[683, 98]"
333,"[727, 573]"
235,"[406, 502]"
317,"[47, 32]"
580,"[779, 200]"
94,"[134, 27]"
764,"[828, 230]"
418,"[489, 772]"
739,"[378, 288]"
328,"[418, 674]"
612,"[391, 592]"
318,"[498, 138]"
320,"[62, 471]"
595,"[647, 128]"
641,"[919, 520]"
167,"[64, 812]"
12,"[14, 156]"
171,"[40, 492]"
649,"[379, 187]"
260,"[763, 216]"
9,"[791, 52]"
689,"[337, 748]"
672,"[719, 724]"
258,"[295, 701]"
510,"[251, 726]"
138,"[461, 455]"
549,"[939, 815]"
319,"[269, 201]"
653,"[161, 555]"
89,"[729, 401]"
0,"[702, 476]"
558,"[821, 771]"
139,"[105, 565]"
112,"[389, 1]"
531,"[881, 561]"
224,"[80, 205]"
723,"[34, 775]"
765,"[508, 427]"
409,"[454, 366]"
325,"[91, 339]"
644,"[564, 345]"
299,"[776, 241]"
172,"[13, 315]"
434,"[600, 387]"
25,"[273, 166]"
391,"[840, 935]"
714,"[646, 818]"
193,"[484, 923]"
440,"[504, 831]"
573,"[243, 566]"
503,"[875, 562]"
605,"[686, 189]"
117,"[782, 699]"
645,"[475, 681]"
3,"[510, 58]"
74,"[474, 560]"
731,"[856, 747]"
467,"[252, 21]"
321,"[313, 459]"
5,"[160, 276]"
222,"[191, 385]"
547,"[805, 413]"
228,"[491, 343]"
39,"[769, 308]"
542,"[661, 130]"
242,"[663, 871, 99]"
758,"[372, 87, 458]"
136,"[330, 214, 466]"
663,"[121, 614, 20]"
606,"[700, 71, 106]"
349,"[270, 860, 435, 102]"
