are mixed in row of R_sa,rows of R
624,[912]
625,[193]
626,[845]
627,[30]
628,[848]
629,[312]
630,[554]
631,[193]
632,"[14, 304]"
633,"[258, 436]"
634,"[502, 253]"
635,"[582, 397]"
636,"[757, 465]"
637,"[686, 591]"
638,"[379, 784]"
639,"[843, 233]"
640,"[290, 95]"
641,"[658, 347]"
642,"[300, 429]"
643,"[189, 23]"
644,"[384, 614]"
645,"[911, 259]"
646,"[9, 38]"
647,"[137, 408]"
648,"[921, 84]"
649,"[531, 767]"
650,"[48, 865]"
651,"[326, 221]"
652,"[443, 757]"
653,"[465, 158]"
654,"[455, 489]"
655,"[317, 597]"
656,"[163, 270]"
657,"[210, 566]"
658,"[4, 63]"
659,"[147, 765]"
660,"[128, 646]"
661,"[843, 451]"
662,"[172, 151]"
663,"[814, 560]"
664,"[124, 255]"
665,"[194, 794]"
666,"[311, 101]"
667,"[275, 553]"
668,"[542, 368]"
669,"[34, 607]"
670,"[720, 822]"
671,"[394, 641]"
672,"[517, 199]"
673,"[884, 304]"
674,"[323, 519]"
675,"[134, 663]"
676,"[372, 599]"
677,"[641, 261]"
678,"[577, 821]"
679,"[6, 118]"
680,"[452, 272]"
681,"[187, 240]"
682,"[722, 392]"
683,"[464, 97]"
684,"[307, 446]"
685,"[307, 314]"
686,"[491, 709]"
687,"[766, 129]"
688,"[494, 926]"
689,"[807, 397]"
690,"[714, 58]"
691,"[98, 315]"
692,"[503, 888]"
693,"[547, 150]"
694,"[485, 111]"
695,"[847, 739]"
696,"[20, 638]"
697,"[233, 380]"
698,"[633, 787]"
699,"[795, 910]"
700,"[902, 174]"
701,"[847, 803]"
702,"[147, 750]"
703,"[728, 168]"
704,"[803, 929]"
705,"[788, 4]"
706,"[162, 6]"
707,"[825, 10]"
708,"[234, 544]"
709,"[404, 455]"
710,"[187, 715]"
711,"[842, 691]"
712,"[257, 206]"
713,"[489, 942]"
714,"[488, 290]"
715,"[454, 47]"
716,"[742, 405]"
717,"[208, 84]"
718,"[223, 893]"
719,"[567, 294]"
720,"[98, 29]"
721,"[443, 583]"
722,"[660, 604]"
723,"[718, 773]"
724,"[193, 814]"
725,"[200, 409]"
726,"[306, 821]"
727,"[170, 396]"
728,"[202, 659]"
729,"[711, 931]"
730,"[826, 740]"
731,"[392, 719]"
732,"[746, 458]"
733,"[84, 768]"
734,"[649, 9]"
735,"[333, 15]"
736,"[220, 569]"
737,"[662, 560]"
738,"[837, 890]"
739,"[416, 0]"
740,"[424, 19]"
741,"[307, 922]"
742,"[622, 312]"
743,"[118, 736]"
744,"[867, 584]"
745,"[795, 881]"
746,"[297, 471]"
747,"[623, 919]"
748,"[638, 342]"
749,"[68, 380]"
750,"[294, 54]"
751,"[43, 283]"
752,"[737, 801]"
753,"[858, 454]"
754,"[23, 264]"
755,"[837, 921]"
756,"[310, 326]"
757,"[293, 647]"
758,"[574, 399]"
759,"[331, 127]"
760,"[396, 654]"
761,"[410, 292]"
762,"[694, 293]"
763,"[404, 450]"
764,"[533, 240]"
765,"[669, 845]"
766,"[927, 608]"
767,"[19, 746]"
768,"[84, 717]"
769,"[49, 353]"
770,"[571, 877]"
771,"[505, 754]"
772,"[832, 50]"
773,"[164, 392]"
774,"[15, 310]"
775,"[821, 134]"
776,"[530, 244]"
777,"[245, 333]"
778,"[906, 180, 674]"
779,"[341, 20, 233]"
780,"[882, 35, 777]"
781,"[794, 872, 190]"
782,"[75, 203, 199]"
783,"[415, 346, 763, 85]"
