,0,1,2,3
117,352,877.0,,
118,16,796.0,,
119,157,326.0,,
120,78,116.0,,
121,813,794.0,,
122,82,708.0,,
123,738,739.0,,
124,664,589.0,,
125,174,250.0,,
126,824,857.0,,
127,417,593.0,,
128,506,485.0,,
129,426,51.0,,
130,152,600.0,,
131,558,101.0,,
132,526,495.0,,
133,758,248.0,,
134,166,328.0,,
135,374,90.0,,
136,736,156.0,,
137,114,774.0,,
138,231,293.0,,
139,54,279.0,,
140,477,901.0,,
141,41,747.0,,
142,240,655.0,,
143,540,892.0,,
144,767,120.0,,
145,716,198.0,,
146,599,130.0,,
147,727,68.0,,
148,474,577.0,,
149,159,881.0,,
150,194,550.0,,
151,18,641.0,,
152,371,,,
153,233,,,
154,574,,,
155,816,,,
156,607,,,
157,450,,,
158,23,,,
159,7,,,
160,440,,,
161,891,,,
162,303,,,
163,875,,,
164,351,,,
165,674,,,
166,699,,,
167,361,,,
168,418,,,
169,87,,,
170,867,,,
171,102,,,
172,17,,,
173,125,,,
174,934,,,
175,421,,,
176,42,,,
177,100,,,
178,217,,,
179,62,,,
180,702,,,
181,261,,,
182,622,,,
183,327,,,
184,853,,,
185,555,,,
186,799,,,
187,527,,,
188,237,,,
189,479,,,
190,15,,,
191,675,,,
192,6,,,
193,533,,,
194,38,,,
195,181,,,
196,917,,,
197,925,,,
198,9,,,
199,45,,,
200,83,,,
201,169,,,
202,529,,,
203,445,,,
204,121,,,
205,751,,,
206,433,,,
207,489,,,
208,214,,,
209,322,,,
210,663,,,
211,372,,,
212,833,,,
213,838,,,
214,507,,,
215,815,,,
216,132,,,
217,590,,,
218,742,,,
219,566,,,
220,443,,,
221,215,,,
222,408,,,
223,204,,,
224,499,,,
225,823,,,
226,910,,,
227,735,,,
228,874,,,
229,579,,,
230,860,,,
231,96,,,
232,357,,,
233,563,,,
234,793,,,
235,608,,,
236,552,,,
237,275,,,
238,226,,,
239,602,,,
240,347,,,
241,911,,,
242,320,,,
243,459,,,
244,205,,,
245,441,,,
246,66,,,
247,723,,,
248,704,,,
249,865,,,
250,604,,,
251,890,,,
252,296,,,
253,203,,,
254,160,,,
255,397,,,
256,242,,,
257,609,,,
258,549,,,
259,660,,,
260,148,,,
261,274,,,
262,791,,,
263,122,,,
264,287,,,
265,40,,,
266,260,,,
267,27,,,
268,809,,,
269,135,,,
270,706,,,
271,25,,,
272,254,,,
273,770,,,
274,859,,,
275,849,,,
276,228,,,
277,337,,,
278,523,,,
279,754,,,
280,826,,,
281,442,,,
282,186,,,
283,290,,,
284,763,,,
285,920,,,
286,820,,,
287,689,,,
288,224,,,
289,569,,,
290,263,,,
291,516,,,
292,900,,,
293,616,,,
294,484,,,
295,786,,,
296,856,,,
297,919,,,
298,424,,,
299,685,,,
300,543,,,
301,694,,,
302,227,,,
303,902,,,
304,1,,,
305,388,,,
306,518,,,
307,420,,,
308,391,,,
309,52,,,
310,818,,,
311,625,,,
312,119,,,
313,933,,,
314,246,,,
315,487,,,
316,848,,,
317,21,,,
318,691,,,
319,126,,,
320,712,,,
321,164,,,
322,117,,,
323,679,,,
324,109,,,
325,730,,,
326,825,,,
327,597,,,
328,640,,,
329,36,,,
330,343,,,
331,434,,,
332,862,,,
333,938,,,
334,150,,,
335,782,,,
336,197,,,
337,149,,,
338,488,,,
339,359,,,
340,146,,,
341,354,,,
342,177,,,
343,654,,,
344,380,,,
345,498,,,
346,876,,,
347,158,,,
348,542,,,
349,713,,,
350,79,,,
351,795,,,
352,251,,,
353,922,,,
354,269,,,
355,476,,,
356,436,,,
357,44,,,
358,943,,,
359,493,,,
360,878,,,
361,525,,,
362,390,,,
363,438,,,
364,452,,,
365,510,,,
366,567,,,
367,681,,,
368,619,,,
369,831,,,
370,249,,,
371,644,,,
372,811,,,
373,659,,,
374,305,,,
375,22,,,
376,210,,,
377,24,,,
378,414,,,
379,725,,,
380,385,,,
381,909,,,
382,75,,,
383,317,,,
384,686,,,
385,382,,,
386,753,,,
387,676,,,
388,281,,,
389,456,,,
390,118,,,
391,147,,,
392,505,,,
393,99,,,
394,398,,,
395,232,,,
396,899,,,
397,710,,,
398,175,,,
399,344,,,
400,646,,,
401,522,,,
402,931,,,
403,666,,,
404,184,,,
405,19,,,
406,729,,,
407,544,,,
408,647,,,
409,360,,,
410,903,,,
411,453,,,
412,764,,,
413,349,,,
414,298,,,
415,29,,,
416,473,,,
417,171,,,
418,211,,,
419,170,,,
420,545,,,
421,847,,,
422,843,,,
423,299,,,
424,266,,,
425,657,,,
426,486,,,
427,447,,,
428,188,,,
429,238,,,
430,454,,,
431,241,,,
432,162,,,
433,500,,,
434,35,,,
435,731,,,
436,620,,,
437,512,,,
438,927,,,
439,810,,,
440,221,,,
441,942,,,
442,536,,,
443,780,,,
444,629,,,
445,885,,,
446,377,,,
447,409,,,
448,598,,,
449,869,,,
450,297,,,
451,618,,,
452,503,,,
453,379,,,
454,559,,,
455,584,,,
456,448,,,
457,413,,,
458,5,,,
459,757,,,
460,176,,,
461,458,,,
462,752,,,
463,369,,,
464,278,,,
465,89,,,
466,839,,,
467,806,,,
468,12,,,
469,907,,,
470,336,,,
471,572,,,
472,873,,,
473,861,,,
474,267,,,
475,586,,,
476,183,,,
477,773,,,
478,930,,,
479,535,,,
480,138,,,
481,701,,,
482,908,,,
483,733,,,
484,759,,,
485,325,,,
486,671,,,
487,307,,,
488,70,,,
489,294,,,
490,259,,,
491,32,,,
492,192,,,
493,895,,,
494,362,,,
495,131,,,
496,329,,,
497,356,,,
498,155,,,
499,643,,,
500,10,,,
501,300,,,
502,624,,,
503,717,,,
504,687,,,
505,193,,,
506,575,,,
507,797,,,
508,137,,,
509,53,,,
510,734,,,
511,76,,,
512,721,,,
513,331,,,
514,257,,,
515,342,,,
516,180,,,
517,822,,,
518,819,,,
519,760,,,
520,123,,,
521,711,,,
522,304,,,
523,698,,,
524,556,,,
525,601,,,
526,415,,,
527,270,,,
528,136,,,
529,464,,,
530,732,,,
531,570,,,
532,530,,,
533,628,,,
534,923,,,
535,478,,,
536,265,,,
537,335,,,
538,581,,,
539,168,,,
540,783,,,
541,341,,,
542,745,,,
543,784,,,
544,80,,,
545,256,,,
546,722,,,
547,658,,,
548,768,,,
549,834,,,
550,726,,,
551,419,,,
552,509,,,
553,720,,,
554,49,,,
555,879,,,
556,761,,,
557,520,,,
558,669,,,
559,284,,,
560,904,,,
561,77,,,
562,30,,,
563,321,,,
564,185,,,
565,460,,,
566,636,,,
567,494,,,
568,422,,,
569,345,,,
570,140,,,
571,808,,,
572,2,,,
573,482,,,
574,914,,,
575,235,,,
576,504,,,
577,412,,,
578,541,,,
579,531,,,
580,496,,,
581,88,,,
582,229,,,
583,444,,,
584,683,,,
585,635,,,
586,827,,,
587,872,,,
588,611,,,
589,324,,,
590,707,,,
591,223,,,
592,247,,,
593,338,,,
594,65,,,
595,852,,,
596,230,,,
597,866,,,
598,463,,,
599,557,,,
600,562,,,
601,613,,,
602,400,,,
603,906,,,
604,677,,,
605,538,,,
606,836,,,
607,490,,,
608,884,,,
609,370,,,
610,803,,,
611,309,,,
612,355,,,
613,449,,,
614,446,,,
615,928,,,
616,8,,,
617,534,,,
618,467,,,
619,243,,,
620,656,,,
621,893,,,
622,57,,,
623,252,,,
624,915,,,
625,515,,,
626,762,,,
627,633,,,
628,282,,,
629,888,,,
630,220,,,
631,779,,,
632,289,,,
633,800,,,
634,97,,,
635,850,,,
636,134,,,
637,167,,,
638,565,,,
639,423,,,
640,364,,,
641,31,,,
642,74,,,
643,63,,,
644,384,,,
645,323,,,
646,750,,,
647,638,,,
648,511,,,
649,191,,,
650,107,,,
651,560,,,
652,700,,,
653,718,,,
654,411,,,
655,84,,,
656,737,,,
657,470,,,
658,637,,,
659,580,,,
660,855,,,
661,14,,,
662,582,,,
663,828,,,
664,199,,,
665,519,,,
666,792,,,
667,481,,,
668,386,,,
669,195,,,
670,662,,,
671,492,,,
672,124,,,
673,103,,,
674,69,,,
675,603,,,
676,451,,,
677,821,,,
678,61,,,
679,741,,,
680,528,,,
681,587,,,
682,651,,,
683,368,,,
684,789,,,
685,315,,,
686,127,,,
687,306,,,
688,283,,,
689,26,,,
690,133,,,
691,678,,,
692,37,,,
693,358,,,
694,81,,,
695,845,,,
696,765,,,
697,501,,,
698,634,,,
699,801,,,
700,547,,,
701,471,,,
702,480,,,
703,670,,,
704,842,,,
705,576,,,
706,924,,,
707,844,,,
708,684,,,
709,605,,,
710,461,,,
711,367,,,
712,93,,,
713,502,,,
714,431,,,
715,695,,,
716,585,,,
717,218,,,
718,110,,,
719,4,,,
720,105,,,
721,161,,,
722,469,,,
723,73,,,
724,594,,,
725,182,,,
726,769,,,
727,108,,,
728,778,,,
729,595,,,
730,564,,,
731,33,,,
732,714,,,
733,173,,,
734,614,,,
735,375,,,
736,744,,,
737,929,,,
738,302,,,
739,690,,,
740,905,,,
741,724,,,
742,568,,,
743,111,,,
744,814,,,
745,106,,,
746,396,,,
747,430,,,
748,937,,,
749,427,,,
750,383,,,
751,115,,,
752,104,,,
753,777,,,
754,546,,,
755,578,,,
756,50,,,
757,703,,,
758,365,,,
759,626,,,
760,432,,,
761,858,,,
762,667,,,
763,775,,,
764,583,,,
765,692,,,
766,340,,,
767,285,,,
768,350,,,
769,802,,,
770,196,,,
771,829,,,
772,172,,,
773,746,,,
774,483,,,
775,255,,,
776,941,,,
777,48,,,
778,428,,,
779,141,,,
780,219,,,
781,610,,,
782,781,,,
783,208,,,
