,Man,Children,Woman,Family
158,0.212025,0.06861,0.299065,0.250635
159,0.313797,0.61749,0.23647,0.153615
160,0.16962,0.20583,0.271245,0.299145
161,0.271392,0.13722,0.243425,0.25872
162,0.152658,0.13722,0.34775,0.24255
163,0.305316,0.61749,0.19474,0.21021
164,0.432531,0.41166,0.16692,0.153615
165,0.262911,0.20583,0.215605,0.282975
166,0.186582,0.06861,0.1391,0.460845
167,0.313797,0.34305,0.18083,0.25872
168,0.228987,0.20583,0.285155,0.234465
169,0.347721,0.13722,0.18083,0.24255
170,0.118734,0.27444,0.382525,0.218295
171,0.186582,0,0.36166,0.21021
172,0.245949,0.06861,0.285155,0.234465
173,0.25443,0.06861,0.243425,0.27489
174,0.203544,0.13722,0.22256,0.33957
175,0.305316,0.34305,0.23647,0.202125
176,0.42405,0.06861,0.146055,0.234465
177,0.271392,0.34305,0.20865,0.25872
178,0.33924,0.48027,0.18083,0.218295
179,0.237468,0.27444,0.30602,0.19404
180,0.288354,0.41166,0.215605,0.24255
181,0.322278,0.13722,0.257335,0.17787
182,0.364683,0.13722,0.132145,0.299145
183,0.271392,0.34305,0.1391,0.347655
184,0.178101,0.41166,0.29211,0.25872
185,0.228987,0.06861,0.26429,0.27489
186,0.237468,0.13722,0.2782,0.24255
187,0.161139,0.48027,0.146055,0.428505
188,0.296835,0.34305,0.201695,0.250635
189,0.237468,0.89193,0.243425,0.202125
190,0.203544,0.34305,0.312975,0.21021
191,0.203544,0.13722,0.285155,0.266805
192,0.296835,0.54888,0.201695,0.22638
193,0.534303,0,0.076505,0.21021
194,0.296835,0.27444,0.187785,0.27489
195,0.322278,0.54888,0.201695,0.202125
196,0.16962,0.61749,0.173875,0.37191
197,0.313797,0.41166,0.201695,0.22638
198,0.237468,0.48027,0.243425,0.24255
199,0.195063,1.44081,0.215605,0.202125
200,0.245949,0.13722,0.26429,0.25872
201,0.237468,0.20583,0.243425,0.27489
202,0.195063,0.13722,0.2782,0.282975
203,0.195063,0.13722,0.2782,0.27489
204,0.152658,0.06861,0.30602,0.299145
205,0.25443,0.20583,0.257335,0.234465
206,0.228987,0.13722,0.20865,0.331485
207,0.330759,0.13722,0.22256,0.218295
208,0.127215,0.13722,0.38948,0.218295
209,0.491898,0.06861,0.12519,0.185955
210,0.178101,0.13722,0.31993,0.24255
211,0.262911,0.54888,0.257335,0.19404
212,0.381645,0.06861,0.15301,0.25872
213,0.245949,0.61749,0.243425,0.218295
214,0.305316,0,0.18083,0.299145
215,0.279873,0.34305,0.15301,0.3234
216,0.212025,0.20583,0.29211,0.24255
217,0.262911,0.27444,0.18083,0.3234
218,0.305316,0.34305,0.16692,0.27489
219,0.322278,0.13722,0.20865,0.24255
220,0.296835,0.13722,0.23647,0.22638
221,0.305316,0.27444,0.229515,0.22638
222,0.186582,0.48027,0.215605,0.3234
223,0.271392,0,0.271245,0.234465
224,0.245949,0.27444,0.25038,0.250635
225,0.42405,0.41166,0.132145,0.19404
226,0.212025,0.27444,0.285155,0.24255
227,0.271392,0.06861,0.26429,0.24255
228,0.237468,0.20583,0.29211,0.218295
229,0.237468,0.27444,0.25038,0.25872
230,0.288354,0.34305,0.187785,0.282975
231,0.220506,0.06861,0.285155,0.250635
232,0.373164,0.6861,0.159965,0.185955
233,0.152658,0.27444,0.285155,0.299145
234,0.313797,0.34305,0.22256,0.202125
235,0.178101,0.20583,0.30602,0.266805
236,0.195063,0.20583,0.25038,0.30723
237,0.271392,0.27444,0.146055,0.347655
238,0.305316,0.06861,0.201695,0.27489
239,0.271392,0.61749,0.16692,0.282975
240,0.415569,0,0.159965,0.218295
241,0.220506,0.48027,0.19474,0.315315
242,0.262911,0.34305,0.257335,0.218295
243,0.271392,0.27444,0.243425,0.22638
244,0.271392,0.75471,0.23647,0.17787
245,0.237468,0.34305,0.22256,0.282975
246,0.279873,0.96054,0.16692,0.234465
247,0.305316,0.20583,0.229515,0.22638
248,0.25443,0.06861,0.29211,0.218295
249,0.186582,0,0.354705,0.21021
250,0.373164,0.06861,0.159965,0.250635
251,0.195063,0.13722,0.368615,0.17787
252,0.288354,0.82332,0.187785,0.21021
253,0.25443,0.41166,0.19474,0.29106
254,0.16962,0.13722,0.29211,0.29106
255,0.212025,0.20583,0.37557,0.14553
256,0.398607,0.13722,0.19474,0.185955
257,0.127215,0.20583,0.271245,0.33957
258,0.220506,0.27444,0.34775,0.1617
259,0.381645,0.06861,0.18083,0.22638
260,0.195063,0.61749,0.326885,0.169785
261,0.16962,0.27444,0.29211,0.27489
262,0.212025,0.20583,0.30602,0.218295
263,0.093291,0,0.340795,0.3234
264,0.220506,0.27444,0.2782,0.24255
265,0.296835,0.27444,0.215605,0.250635
266,0.322278,0.20583,0.2782,0.14553
267,0.415569,0.13722,0.187785,0.17787
268,0.322278,0.61749,0.201695,0.19404
269,0.152658,0.61749,0.31993,0.21021
270,0.228987,0.27444,0.229515,0.282975
271,0.347721,0.96054,0.173875,0.1617
272,0.186582,0.61749,0.25038,0.27489
273,0.296835,0.20583,0.23647,0.234465
274,0.127215,0.06861,0.38948,0.234465
275,0.220506,0,0.299065,0.250635
276,0.135696,0.06861,0.465985,0.137445
277,0.407088,0.13722,0.146055,0.234465
278,0.245949,0.27444,0.257335,0.250635
279,0.237468,0.20583,0.22256,0.299145
280,0.228987,0.41166,0.16692,0.35574
281,0.305316,0.34305,0.159965,0.29106
282,0.144177,0.20583,0.34775,0.234465
283,0.101772,0.06861,0.30602,0.35574
284,0.407088,0.6861,0.1391,0.17787
285,0.25443,0.13722,0.257335,0.24255
286,0.296835,0,0.23647,0.24255
287,0.262911,0.48027,0.20865,0.250635
288,0.212025,0.06861,0.312975,0.22638
289,0.364683,0.34305,0.132145,0.266805
290,0.101772,0.20583,0.299065,0.33957
291,0.25443,0.13722,0.20865,0.30723
292,0.195063,0.13722,0.312975,0.24255
293,0.203544,0.20583,0.271245,0.266805
294,0.186582,0.13722,0.36166,0.19404
295,0.271392,0.27444,0.29211,0.185955
296,0.271392,0.41166,0.19474,0.266805
297,0.330759,0.27444,0.173875,0.266805
298,0.093291,0,0.452075,0.202125
299,0.16962,0.27444,0.285155,0.282975
300,0.279873,1.50942,0.146055,0.19404
301,0.237468,0.13722,0.29211,0.22638
302,0.347721,0.13722,0.18083,0.250635
303,0.237468,0.06861,0.2782,0.250635
304,0.271392,0.06861,0.16692,0.347655
305,0.373164,0.41166,0.16692,0.21021
306,0.245949,0.34305,0.299065,0.19404
307,0.186582,0.41166,0.2782,0.25872
308,0.195063,0.20583,0.299065,0.24255
309,0.296835,0.41166,0.215605,0.22638
310,0.296835,0.06861,0.19474,0.29106
311,0.457974,0,0.12519,0.22638
312,0.262911,0.34305,0.23647,0.250635
313,0.220506,0,0.299065,0.25872
314,0.186582,0.27444,0.31993,0.22638
315,0.279873,0.13722,0.20865,0.282975
316,0.262911,0,0.215605,0.299145
317,0.245949,0.20583,0.285155,0.218295
318,0.203544,0.13722,0.30602,0.234465
319,0.288354,0.27444,0.201695,0.266805
320,0.212025,0.20583,0.22256,0.3234
321,0.534303,0,0.104325,0.17787
322,0.279873,0.20583,0.23647,0.24255
323,0.186582,0.41166,0.299065,0.22638
324,0.33924,0.48027,0.16692,0.24255
325,0.271392,0.54888,0.201695,0.24255
326,0.237468,0.41166,0.26429,0.234465
327,0.228987,0.20583,0.26429,0.266805
328,0.245949,0.34305,0.271245,0.218295
329,0.474936,0.20583,0.118235,0.202125
330,0.212025,0.27444,0.229515,0.30723
331,0.279873,0.27444,0.19474,0.282975
332,0.466455,0.06861,0.076505,0.266805
333,0.271392,0,0.243425,0.266805
334,0.228987,0.54888,0.29211,0.185955
335,0.330759,0.48027,0.18083,0.218295
336,0.271392,0.13722,0.25038,0.24255
337,0.220506,0.48027,0.18083,0.331485
338,0.330759,0.34305,0.173875,0.250635
339,0.296835,0.13722,0.19474,0.282975
340,0.381645,0.06861,0.187785,0.218295
341,0.228987,0.20583,0.29211,0.22638
342,0.500379,0.41166,0.104325,0.1617
343,0.279873,0.06861,0.257335,0.234465
344,0.186582,0.27444,0.26429,0.29106
345,0.25443,0.13722,0.20865,0.30723
346,0.212025,0.06861,0.312975,0.234465
347,0.245949,0.06861,0.2782,0.24255
348,0.25443,0.27444,0.285155,0.202125
349,0.135696,0.27444,0.30602,0.282975
350,0.262911,0.27444,0.243425,0.24255
351,0.262911,0.34305,0.271245,0.202125
352,0.245949,0.20583,0.22256,0.29106
353,0.195063,0.27444,0.30602,0.234465
354,0.220506,0,0.20865,0.35574
355,0.186582,0.20583,0.243425,0.315315
356,0.25443,0.27444,0.23647,0.266805
357,0.25443,0.20583,0.22256,0.282975
358,0.186582,0.13722,0.34775,0.21021
359,0.288354,0.13722,0.312975,0.153615
360,0.228987,0.20583,0.201695,0.331485
361,0.186582,0.27444,0.29211,0.250635
362,0.271392,0.54888,0.20865,0.24255
363,0.220506,0.06861,0.29211,0.250635
364,0.203544,0.06861,0.34775,0.202125
365,0.347721,1.09776,0.187785,0.12936
366,0.186582,0.6861,0.299065,0.202125
367,0.262911,0.20583,0.215605,0.282975
368,0.212025,0.41166,0.26429,0.25872
369,0.203544,0.06861,0.340795,0.21021
370,0.135696,0.41166,0.25038,0.347655
371,0.330759,0.20583,0.18083,0.25872
372,0.152658,0.27444,0.33384,0.24255
373,0.220506,0.20583,0.201695,0.33957
374,0.237468,0,0.37557,0.14553
375,0.296835,0.27444,0.243425,0.21021
376,0.313797,0.27444,0.19474,0.25872
377,0.16962,0.13722,0.271245,0.30723
378,0.228987,0.34305,0.243425,0.27489
379,0.203544,0.06861,0.396435,0.153615
380,0.144177,0.13722,0.354705,0.24255
381,0.262911,0.20583,0.23647,0.25872
382,0.25443,0.13722,0.312975,0.17787
383,0.008481,0,0.40339,0.3234
384,0.212025,0.13722,0.285155,0.25872
385,0.245949,0.41166,0.22256,0.266805
386,0.347721,0.20583,0.187785,0.234465
387,0.262911,0.41166,0.20865,0.266805
388,0.110253,0.13722,0.382525,0.24255
389,0.313797,0.06861,0.201695,0.266805
390,0.271392,0.27444,0.201695,0.282975
391,0.228987,0.20583,0.18083,0.35574
392,0.16962,0.20583,0.326885,0.250635
393,0.288354,0.20583,0.20865,0.266805
394,0.25443,0,0.243425,0.282975
395,0.313797,0.13722,0.20865,0.25872
396,0.25443,0.13722,0.33384,0.169785
397,0.178101,0.27444,0.37557,0.169785
398,0.373164,0.13722,0.146055,0.25872
399,0.152658,0.61749,0.215605,0.33957
400,0.144177,0.27444,0.354705,0.22638
401,0.195063,0.13722,0.2782,0.282975
402,0.237468,0,0.22256,0.3234
403,0.279873,0,0.312975,0.17787
404,0.195063,0.13722,0.326885,0.22638
405,0.228987,0.27444,0.30602,0.202125
406,0.25443,0.06861,0.2782,0.234465
407,0.305316,0.61749,0.19474,0.22638
408,0.313797,0.41166,0.132145,0.299145
409,0.220506,0.06861,0.201695,0.35574
410,0.110253,0.27444,0.31993,0.30723
411,0.212025,0.13722,0.340795,0.19404
412,0.186582,0.34305,0.2782,0.266805
413,0.212025,0,0.29211,0.266805
414,0.237468,0.27444,0.271245,0.24255
415,0.347721,0.20583,0.215605,0.202125
416,0.25443,0,0.25038,0.266805
417,0.330759,0.20583,0.16692,0.282975
418,0.203544,0.20583,0.23647,0.315315
419,0.220506,0.34305,0.271245,0.250635
420,0.288354,0.20583,0.25038,0.22638
421,0.212025,0.13722,0.257335,0.282975
422,0.305316,0.27444,0.257335,0.185955
423,0.228987,0.06861,0.30602,0.22638
424,0.381645,0.41166,0.118235,0.25872
425,0.271392,0.06861,0.243425,0.25872
426,0.237468,0.20583,0.26429,0.250635
427,0.25443,0.20583,0.285155,0.21021
428,0.551265,0,0.05564,0.21021
429,0.322278,0,0.20865,0.25872
430,0.186582,0.48027,0.243425,0.29106
431,0.330759,0.06861,0.257335,0.19404
432,0.203544,0.27444,0.22256,0.3234
433,0.262911,0.06861,0.215605,0.29106
434,0.271392,0.06861,0.15301,0.37191
435,0.364683,0.34305,0.187785,0.202125
436,0.203544,0.13722,0.29211,0.266805
437,0.245949,0.48027,0.19474,0.29106
438,0.262911,0.06861,0.201695,0.315315
439,0.262911,0.34305,0.257335,0.218295
440,0.203544,0.13722,0.36166,0.17787
441,0.373164,0.34305,0.118235,0.27489
442,0.25443,0.27444,0.271245,0.218295
443,0.245949,0.13722,0.312975,0.19404
444,0.203544,0.20583,0.2782,0.27489
445,0.262911,0.20583,0.257335,0.234465
446,0.152658,0.27444,0.368615,0.21021
447,0.237468,1.30359,0.19474,0.19404
448,0.313797,0.54888,0.15301,0.266805
449,0.228987,0.34305,0.326885,0.169785
450,0.110253,0.41166,0.26429,0.347655
451,0.203544,0.13722,0.31993,0.234465
452,0.296835,0.41166,0.26429,0.169785
453,0.237468,0.27444,0.229515,0.27489
454,0.195063,0.06861,0.299065,0.266805
455,0.288354,0.61749,0.23647,0.19404
456,0.237468,0.06861,0.271245,0.25872
457,0.330759,0.34305,0.20865,0.21021
458,0.228987,0.13722,0.243425,0.29106
459,0.296835,0.13722,0.2782,0.185955
460,0.16962,0.48027,0.312975,0.22638
461,0.305316,0.27444,0.187785,0.266805
462,0.279873,0.34305,0.19474,0.27489
463,0.322278,0.06861,0.243425,0.21021
464,0.296835,0.41166,0.1391,0.30723
465,0.237468,0.13722,0.285155,0.234465
466,0.313797,0.27444,0.16692,0.282975
467,0.195063,0.20583,0.2782,0.266805
468,0.152658,0.6861,0.382525,0.137445
469,0.279873,0.20583,0.23647,0.250635
470,0.279873,0.13722,0.18083,0.315315
471,0.245949,0.34305,0.257335,0.24255
472,0.25443,0.20583,0.285155,0.21021
473,0.118734,0.06861,0.187785,0.46893
474,0.127215,0.13722,0.18083,0.460845
475,0.16962,0.27444,0.271245,0.29106
476,0.262911,0.20583,0.312975,0.169785
477,0.203544,0.06861,0.2782,0.282975
478,0.212025,0.13722,0.33384,0.21021
479,0.322278,0,0.16692,0.30723
480,0.237468,0,0.2782,0.25872
481,0.271392,0.20583,0.201695,0.29106
482,0.203544,0.20583,0.312975,0.22638
483,0.279873,0.27444,0.26429,0.19404
484,0.407088,0.27444,0.16692,0.19404
485,0.161139,0,0.23647,0.379995
486,0.25443,0.89193,0.16692,0.25872
487,0.237468,0.27444,0.201695,0.30723
488,0.296835,0.75471,0.20865,0.19404
489,0.203544,0.34305,0.29211,0.234465
490,0.305316,0.13722,0.25038,0.202125
491,0.262911,0.34305,0.243425,0.24255
492,0.288354,0.06861,0.26429,0.22638
493,0.347721,0.13722,0.229515,0.19404
494,0.237468,0,0.2782,0.25872
495,0.212025,0.06861,0.312975,0.234465
496,0.288354,0.54888,0.243425,0.19404
497,0.25443,0.27444,0.25038,0.250635
498,0.262911,0.06861,0.26429,0.250635
499,0.220506,0.20583,0.285155,0.24255
500,0.245949,0.13722,0.229515,0.29106
501,0.186582,0.13722,0.34775,0.21021
502,0.16962,0.13722,0.285155,0.29106
503,0.390126,0,0.19474,0.21021
504,0.212025,0.06861,0.326885,0.21021
505,0.33924,0.27444,0.16692,0.25872
506,0.203544,0.27444,0.2782,0.25872
507,0.228987,0,0.30602,0.234465
508,0.25443,0.06861,0.1391,0.396165
509,0.271392,0,0.271245,0.234465
510,0.262911,0.06861,0.20865,0.315315
511,0.25443,0.27444,0.215605,0.282975
512,0.398607,0.41166,0.048685,0.331485
513,0.262911,0.41166,0.257335,0.218295
514,0.296835,0.20583,0.243425,0.218295
515,0.212025,0.27444,0.229515,0.30723
516,0.373164,0.34305,0.20865,0.169785
517,0.135696,0.13722,0.38948,0.21021
518,0.381645,1.16637,0.1391,0.153615
519,0.220506,0.6861,0.257335,0.218295
520,0.305316,0.20583,0.173875,0.29106
521,0.237468,0.20583,0.271245,0.24255
522,0.203544,0.61749,0.22256,0.282975
523,0.228987,0.27444,0.257335,0.266805
524,0.390126,0.20583,0.132145,0.25872
525,0.16962,0.06861,0.31993,0.266805
526,0.330759,0.34305,0.173875,0.250635
527,0.356202,0.20583,0.159965,0.25872
528,0.576708,0.20583,0.05564,0.1617
529,0.296835,0.13722,0.215605,0.25872
530,0.245949,0.41166,0.201695,0.299145
531,0.186582,0.41166,0.23647,0.30723
532,0.228987,0.48027,0.25038,0.24255
533,0.144177,0.06861,0.36166,0.24255
534,0.220506,0.54888,0.299065,0.185955
535,0.262911,0,0.29211,0.218295
536,0.347721,0.06861,0.1391,0.299145
537,0.144177,0.20583,0.37557,0.21021
538,0.322278,0.13722,0.19474,0.250635
539,0.288354,0.06861,0.215605,0.27489
540,0.305316,0.48027,0.19474,0.234465
541,0.178101,0.34305,0.25038,0.30723
542,0.305316,0.13722,0.201695,0.266805
543,0.203544,0.34305,0.31993,0.21021
544,0.381645,0,0.173875,0.250635
545,0.288354,0.41166,0.243425,0.202125
546,0.262911,0.41166,0.257335,0.21021
547,0.262911,0.41166,0.19474,0.282975
548,0.212025,0.6861,0.26429,0.218295
549,0.161139,0.48027,0.299065,0.250635
550,0.144177,0.06861,0.354705,0.250635
551,0.262911,0.13722,0.20865,0.29106
552,0.220506,0.41166,0.23647,0.27489
553,0.203544,0.27444,0.30602,0.234465
554,0.33924,0.27444,0.23647,0.17787
555,0.203544,0,0.31993,0.24255
556,0.203544,0,0.31993,0.24255
557,0.466455,0.06861,0.15301,0.17787
558,0.220506,0.20583,0.243425,0.282975
559,0.16962,0.41166,0.33384,0.218295
560,0.347721,0.27444,0.201695,0.218295
561,0.262911,0.27444,0.215605,0.27489
562,0.364683,0.20583,0.18083,0.22638
563,0.25443,0.41166,0.215605,0.266805
564,0.330759,0.41166,0.15301,0.266805
565,0.220506,0.13722,0.19474,0.35574
566,0.288354,0.27444,0.215605,0.24255
567,0.228987,0.27444,0.299065,0.218295
568,0.237468,0.13722,0.30602,0.21021
569,0.144177,0.41166,0.354705,0.202125
570,0.296835,0,0.257335,0.22638
571,0.347721,0.54888,0.11128,0.282975
572,0.186582,0,0.2782,0.315315
573,0.195063,0.13722,0.285155,0.27489
574,0.313797,0.41166,0.20865,0.218295
575,0.135696,0.06861,0.257335,0.363825
576,0.33924,0.54888,0.173875,0.218295
577,0.457974,0.13722,0.159965,0.169785
578,0.262911,0.48027,0.25038,0.21021
579,0.178101,0.34305,0.271245,0.27489
580,0.237468,0.27444,0.25038,0.266805
581,0.364683,0.06861,0.215605,0.202125
582,0.262911,0.20583,0.257335,0.22638
583,0.271392,0.06861,0.2782,0.218295
584,0.271392,0.41166,0.20865,0.25872
585,0.203544,0.20583,0.243425,0.299145
586,0.186582,0.13722,0.30602,0.25872
587,0.203544,0.34305,0.285155,0.250635
588,0.262911,0.13722,0.201695,0.315315
589,0.25443,0.13722,0.229515,0.27489
590,0.16962,0.54888,0.340795,0.185955
591,0.161139,0.89193,0.187785,0.331485
592,0.228987,0.27444,0.243425,0.27489
593,0.220506,0.20583,0.2782,0.25872
594,0.245949,0.41166,0.26429,0.21021
595,0.288354,0.20583,0.257335,0.202125
596,0.161139,0,0.4173,0.169785
597,0.220506,0.41166,0.271245,0.24255
598,0.16962,0.20583,0.36166,0.202125
599,0.296835,0.34305,0.187785,0.25872
600,0.271392,0.13722,0.29211,0.185955
601,0.25443,0.06861,0.271245,0.250635
602,0.237468,0.06861,0.285155,0.250635
603,0.203544,0.20583,0.271245,0.27489
604,0.220506,0.48027,0.229515,0.266805
605,0.390126,0.27444,0.12519,0.25872
606,0.330759,0,0.18083,0.282975
607,0.195063,0.06861,0.257335,0.315315
608,0.313797,0.48027,0.22256,0.202125
609,0.186582,0,0.285155,0.299145
610,0.33924,0.20583,0.173875,0.25872
611,0.279873,0.20583,0.215605,0.27489
612,0.25443,0,0.299065,0.218295
613,0.110253,0,0.44512,0.185955
614,0.212025,0.13722,0.22256,0.3234
615,0.356202,0.06861,0.132145,0.30723
616,0.25443,0.20583,0.229515,0.27489
617,0.212025,0.06861,0.229515,0.331485
618,0.220506,0.54888,0.257335,0.24255
619,0.144177,0,0.29211,0.331485
620,0.237468,0.41166,0.25038,0.250635
621,0.237468,0.06861,0.285155,0.24255
622,0.212025,0.20583,0.243425,0.299145
623,0.152658,0.34305,0.33384,0.24255
624,0.245949,0.34305,0.243425,0.250635
625,0.127215,0,0.285155,0.347655
626,0.347721,0.41166,0.15301,0.250635
627,0.245949,0.06861,0.2782,0.250635
628,0.559746,0,0.09737,0.169785
629,0.228987,0.27444,0.229515,0.29106
630,0.220506,0.06861,0.299065,0.234465
631,0.228987,0.13722,0.30602,0.21021
632,0.220506,0.20583,0.299065,0.22638
633,0.42405,0.27444,0.1391,0.202125
634,0.228987,0.27444,0.215605,0.299145
635,0.127215,0.06861,0.38948,0.22638
636,0.356202,0.06861,0.2782,0.137445
637,0.373164,0.06861,0.15301,0.266805
638,0.262911,0.06861,0.18083,0.33957
639,0.212025,0.13722,0.257335,0.29106
640,0.144177,0.13722,0.38948,0.202125
641,0.25443,0.27444,0.22256,0.27489
642,0.279873,0.34305,0.257335,0.19404
